time_stamp,location,user name,text,val
2020-04-08 09:18:31,"30° 39′ 0″N  81° 27′ 0″E
",Ashu,RT _: Meet the owner of IPCA labs which supplies #Hydroxychloroquine To the world. He will meet 100% demand. Then meet a liberand…,0
2020-04-08 09:18:31,"Gujarat, India",prasad_perla,RT _perla: @…,1
2020-04-08 09:18:31,,Students for a Free Tibet,"RT : In a letter to Prime Minister Narendra Modi, expressed his support for Modi's efforts to control the growing threat o…",1
2020-04-08 09:18:29,India,RaviMC,That is problem narendra modi he can't bcz these incompetent CM playing life of the people,1
2020-04-08 09:18:28,INDIA,Savio Rodrigues 🇮🇳,RT : 48-hrs passed no revert from you to my question: What would you have done differently than Modi?,1
2020-04-08 09:18:26,"New Delhi, India",Srivatsa,RT : Number of Tweets by PM Modi in the last 10 days (since Mar 28th) on ✅ PMCares : 61 ✅ 9PM9Min : 54 ✅ MannKiBaat/Yoga : 21 ✅…,1
2020-04-08 09:18:26,,Goa Congress,RT : Why did PM Modi give in to US threats and lift the ban on exports of medicines? Did PM Modi take stock of the situation for Ind…,0
2020-04-08 09:18:26,,Vikas Bhadauria (ABP News),"RT : Brazilian President Bolsanaro compared India's helps to Hanuman and Sanjeevani booti, In a letter to PM Narendra Modi than…",1
2020-04-08 09:18:25,"Under Sun, below Stars; Earth",ThePrintIndia,"RT : Modi must not extend lockdown. Economy won’t survive on ventilator for long R Jagannathan , Editorial Director…",1
